UnwrittenAt,Title,cpeName
2025-06-08T18:56:23.180,Alteryx Server 2022.1.1.42590,cpe:2.3:a:alteryx:alteryx_server:2022.1.1.42590:*:*:*:*:*:*:*
2025-06-08T18:58:05.421,Alteryx Server 2022.1.1.42590,cpe:2.3:a:alteryx:alteryx_server:2022.1.1.42590:*:*:*:*:*:*:*
2025-06-08T18:58:07.898,Oracle SuiteCommerce Advanced,cpe:2.3:a:oracle:suitecommerce_advanced:-:*:*:*:*:*:*:*
2025-06-08T18:58:07.898,Oracle SuiteCommerce Advanced 2020.1.4,cpe:2.3:a:oracle:suitecommerce_advanced:2020.1.4:*:*:*:*:*:*:*
2025-06-08T18:58:09.878,Adobe Acrobat Reader 20.004.30006 Classic Edition,cpe:2.3:a:adobe:acrobat_reader:20.004.30006:*:*:*:classic:*:*:*
2025-06-08T18:58:12.211,Tableau Desktop 2021.1,cpe:2.3:a:tableau:tableau_desktop:2021.1:*:*:*:*:*:*:*
