product
Windows_10_Pro
Windows_Server_2019/2022
VMware_Workstation
Oracle_VM_VirtualBox
QuickBooks
Sage_50cloud
Sage_Intacct
Xero
Thomson_Reuters_UltraTax_CS
CCH_ProSystem_fx_Tax
Drake_Tax
ATX
Practice_CS
OfficeTools
DocuWare
SafeSend
Adobe_Acrobat_Pro
Engagement
CaseWare
IDEA
ACL_Analytics
ProSystem_fx_Engagement
QuickBooks_Enterprise
Sage_Intacct
Microsoft_Dynamics_GP
Microsoft_365
Google_Workspace
Zoom
GoToMeeting
Microsoft_Exchange
Gmail
SQL_Server_Express
SQL_Server_Standard
MySQL
MariaDB
Synology
QNAP
Windows_File_Server
SonicWall
Ubiquiti_UniFi_Security_Gateway
Sophos_XG
Bitdefender_GravityZone
Trend_Micro_Worry-Free
Microsoft_Defender_for_Business
OpenVPN_Access_Server
Windows_Server_VPN
Adobe_Acrobat_Reader_DC
Windows_Server_2016/2019/2022
Windows_10/11_Enterprise
Red_Hat_Enterprise_Linux_(RHEL)
CentOS/Ubuntu_LTS
VMware_vSphere_ESXi
Microsoft_Hyper-V
SAP_S/4HANA_Finance
SAP_ECC_Financials
Oracle_E-Business_Suite_Financials
Oracle_NetSuite
Microsoft_Dynamics_365_Finance_&_Operations
Workday_Financial_Management
Infor_CloudSuite_Financials
Thomson_Reuters_ONESOURCE
Vertex_Indirect_Tax
CCH_Axcess_Tax/ProSystem_fx_Tax
TeamMate_Analytics
Galvanize_HighBond
ACL_GRC
AuditBoard
CaseWare_IDEA_Server
Microsoft_SharePoint_Online
SharePoint_Server
OpenText
Alfresco
DocuSign
Microsoft_Power_BI
Tableau_Server
SAP_BusinessObjects
Microsoft_365_Enterprise_E3/E5
Slack
Citrix_Workspace
Microsoft_Exchange_Server
Microsoft_Teams
Oracle_Databases_(12c/19c)
Microsoft_SQL_Server_Enterprise
Snowflake
Amazon_Redshift
Palo_Alto_Networks
Fortinet_FortiGate
Cisco_Firepower
CrowdStrike_Falcon
Microsoft_Defender_for_Endpoint
Snort
Suricata
Tenable_Nessus
Splunk_Enterprise
IBM_QRadar
Azure_Sentinel
Chrome_Enterprise
Edge_(Chromium)
Firefox_ESR
Adobe_Acrobat_Pro_DC
Foxit_PhantomPDF
